scenario,scenario_type,seed,total_arrivals,served_customers,served_within_horizon,abandoned_customers,avg_wait_time,avg_wait_served,avg_wait_abandoned,avg_system_time,avg_queue_length,max_queue_length,utilization_percent,throughput_per_hour,abandonment_percent,num_kiosks,mean_interarrival_time,mean_service_time,patience_time,duration,reactive_threshold,iteration
Beban Sangat Rendah,base,80120,49,49,49,0,0.0,0.0,0.0,3.010937640759781,0.0,0,7.68416377068903,6.125,0.0,4,10.0,3.0,20.0,480,4,121
Beban Sangat Rendah,base,80121,43,43,43,0,0.0,0.0,0.0,3.0943857072814507,0.0,0,6.930134656932416,5.375,0.0,4,10.0,3.0,20.0,480,4,122
Beban Sangat Rendah,base,80122,41,41,41,0,0.0,0.0,0.0,2.9362499357688883,0.0,0,6.270117050339813,5.125,0.0,4,10.0,3.0,20.0,480,4,123
Beban Sangat Rendah,base,80123,58,58,57,0,0.0,0.0,0.0,3.0955179013324186,0.0,0,9.306036341989968,7.125,0.0,4,10.0,3.0,20.0,480,4,124
Beban Sangat Rendah,base,80124,46,46,46,0,0.0,0.0,0.0,2.799435223124328,0.0,0,6.706980222068708,5.75,0.0,4,10.0,3.0,20.0,480,4,125
Beban Sangat Rendah,base,80125,52,52,51,0,0.0,0.0,0.0,2.9864790037311333,0.0,0,8.02802047830206,6.375,0.0,4,10.0,3.0,20.0,480,4,126
Beban Sangat Rendah,base,80126,53,53,52,0,0.0,0.0,0.0,2.9983049139444886,0.0,0,8.217632281673222,6.5,0.0,4,10.0,3.0,20.0,480,4,127
Beban Sangat Rendah,base,80127,50,50,50,0,0.0,0.0,0.0,3.1039138376313775,0.0,0,8.083108952165045,6.25,0.0,4,10.0,3.0,20.0,480,4,128
Beban Sangat Rendah,base,80128,59,59,59,0,0.0,0.0,0.0,2.9289522553369713,0.0,0,9.000426201295895,7.375,0.0,4,10.0,3.0,20.0,480,4,129
Beban Sangat Rendah,base,80129,55,55,55,0,0.0,0.0,0.0,3.0613457178054313,0.0,0,8.769479920796805,6.875,0.0,4,10.0,3.0,20.0,480,4,130
Beban Sangat Rendah,base,80130,58,58,58,0,0.0,0.0,0.0,3.034282246865702,0.0,0,9.166060954073467,7.25,0.0,4,10.0,3.0,20.0,480,4,131
Beban Sangat Rendah,base,80131,46,46,46,0,0.0,0.0,0.0,2.9915732312099426,0.0,0,7.167310866440486,5.75,0.0,4,10.0,3.0,20.0,480,4,132
Beban Sangat Rendah,base,80132,45,45,44,0,0.0,0.0,0.0,2.612433415940453,0.0,0,6.0374428995445575,5.5,0.0,4,10.0,3.0,20.0,480,4,133
Beban Sangat Rendah,base,80133,30,30,29,0,0.0,0.0,0.0,2.9287075834168146,0.0,0,4.573000231619454,3.625,0.0,4,10.0,3.0,20.0,480,4,134
Beban Sangat Rendah,base,80134,50,50,50,0,0.0,0.0,0.0,2.9527298054998696,0.0,0,7.689400535155914,6.25,0.0,4,10.0,3.0,20.0,480,4,135
Beban Sangat Rendah,base,80135,44,44,43,0,0.0,0.0,0.0,2.917888863077739,0.0,0,6.59488602285214,5.375,0.0,4,10.0,3.0,20.0,480,4,136
Beban Sangat Rendah,base,80136,58,58,58,0,0.0,0.0,0.0,3.0648903442006006,0.0,0,9.258522914772641,7.25,0.0,4,10.0,3.0,20.0,480,4,137
Beban Sangat Rendah,base,80137,51,51,50,0,0.0,0.0,0.0,2.911967558211953,0.0,0,7.64493055381499,6.25,0.0,4,10.0,3.0,20.0,480,4,138
Beban Sangat Rendah,base,80138,53,53,53,0,0.0,0.0,0.0,3.1450540739033457,0.0,0,8.681659683170693,6.625,0.0,4,10.0,3.0,20.0,480,4,139
